,n_startpop_5564,n_startpop_6574,n_startpop_65p,n_startpop_7584,n_startpop_85p,n_startpop_all,n_startpop_blk,n_startpop_college,n_startpop_f,n_startpop_his,n_startpop_his_f,n_startpop_hsless,n_startpop_m,n_startpop_wht,p_cogstate1_5564,p_cogstate1_6574,p_cogstate1_65p,p_cogstate1_7584,p_cogstate1_85p,p_cogstate1_all,p_cogstate1_blk,p_cogstate1_f,p_cogstate1_his,p_cogstate1_m,p_cogstate1_wht,n_cogstate1_5564,n_cogstate1_6574,n_cogstate1_65p,n_cogstate1_7584,n_cogstate1_85p,n_cogstate1_Age55l,n_cogstate1_all,n_cogstate1_blk,n_cogstate1_f,n_cogstate1_his,n_cogstate1_m,n_cogstate1_wht,p_cogstate2_5564,p_cogstate2_6574,p_cogstate2_65p,p_cogstate2_7584,p_cogstate2_85p,p_cogstate2_all,p_cogstate2_blk,p_cogstate2_college,p_cogstate2_f,p_cogstate2_his,p_cogstate2_his_f,p_cogstate2_hsless,p_cogstate2_m,p_cogstate2_wht,n_cogstate2_5564,n_cogstate2_6574,n_cogstate2_65p,n_cogstate2_7584,n_cogstate2_85p,n_cogstate2_all,n_cogstate2_blk,n_cogstate2_college,n_cogstate2_f,n_cogstate2_his,n_cogstate2_his_f,n_cogstate2_hsless,n_cogstate2_m,n_cogstate2_wht,n_nhmliv_dem_5564,n_nhmliv_dem_6574,n_nhmliv_dem_65p,n_nhmliv_dem_7584,n_nhmliv_dem_85p,n_nhmliv_dem_Age55l,n_nhmliv_dem_all,n_nhmliv_dem_blk,n_nhmliv_dem_f,n_nhmliv_dem_his,n_nhmliv_dem_m,n_nhmliv_dem_wht,s_helphoursyr_dem_5564,s_helphoursyr_dem_6574,s_helphoursyr_dem_65p,s_helphoursyr_dem_7584,s_helphoursyr_dem_85p,s_helphoursyr_dem_Age55l,s_helphoursyr_dem_all,s_helphoursyr_dem_blk,s_helphoursyr_dem_f,s_helphoursyr_dem_his,s_helphoursyr_dem_m,s_helphoursyr_dem_wht,t_totmd_dem_5564,t_totmd_dem_6574,t_totmd_dem_65p,t_totmd_dem_7584,t_totmd_dem_85p,t_totmd_dem_Age55l,t_totmd_dem_all,t_totmd_dem_blk,t_totmd_dem_f,t_totmd_dem_his,t_totmd_dem_m,t_totmd_dem_wht,t_mcare_dem_5564,t_mcare_dem_6574,t_mcare_dem_65p,t_mcare_dem_7584,t_mcare_dem_85p,t_mcare_dem_Age55l,t_mcare_dem_all,t_mcare_dem_blk,t_mcare_dem_f,t_mcare_dem_his,t_mcare_dem_m,t_mcare_dem_wht,t_caidmd_dem_5564,t_caidmd_dem_6574,t_caidmd_dem_65p,t_caidmd_dem_7584,t_caidmd_dem_85p,t_caidmd_dem_Age55l,t_caidmd_dem_all,t_caidmd_dem_blk,t_caidmd_dem_f,t_caidmd_dem_his,t_caidmd_dem_m,t_caidmd_dem_wht,t_oopmd_dem_5564,t_oopmd_dem_6574,t_oopmd_dem_65p,t_oopmd_dem_7584,t_oopmd_dem_85p,t_oopmd_dem_Age55l,t_oopmd_dem_all,t_oopmd_dem_blk,t_oopmd_dem_f,t_oopmd_dem_his,t_oopmd_dem_m,t_oopmd_dem_wht,qaly_loss_plwd_5564,qaly_loss_plwd_6574,qaly_loss_plwd_65p,qaly_loss_plwd_7584,qaly_loss_plwd_85p,qaly_loss_plwd_Age55l,qaly_loss_plwd_all,qaly_loss_plwd_blk,qaly_loss_plwd_f,qaly_loss_plwd_his,qaly_loss_plwd_m,qaly_loss_plwd_wht,earnings_loss_plwd_5564,earnings_loss_plwd_6574,earnings_loss_plwd_65p,earnings_loss_plwd_7584,earnings_loss_plwd_85p,earnings_loss_plwd_Age55l,earnings_loss_plwd_all,earnings_loss_plwd_blk,earnings_loss_plwd_f,earnings_loss_plwd_his,earnings_loss_plwd_m,earnings_loss_plwd_wht
22.year_inc,4591532.4,-1304240.1,18581262.0,6855135.8,13030366.3,26731784.7,4784752.7,14501511.4,14093081.2,14181161.8,6998425.4,6045202.3,12638703.5,7765870.3,0.0016,-0.00379,-0.0183,-0.03,-0.102,-0.00908,-0.02,-0.0109,-0.0163,-0.00703,-0.008190000000000001,119726.0,-151324.2,-855118.1,-606215.3,-97573.8,61999.0,-673393.8,-93846.6,-478517.7,112979.1,-194875.4,-692528.0,0.0145,-0.0155,-0.0236,-0.0682,-0.0953,-0.006229999999999999,-0.0152,-0.00105,-0.00795,-0.0236,-0.0291,-0.0255,-0.0043100000000000005,-0.0147,1043009.0,-647179.4,341632.7,-1022811.5,2011623.7,1915052.4,706842.9,827647.3,817836.6,2064298.1,923135.0,1155165.7,1097215.8,-856088.6,2806.0,-2968.7,-101025.2,-41747.7,-56310.0,-305.0,-98523.9,-7836.2,-71999.1,15820.9,-26524.5,-106508.0,84605857.0,-116879439.7,-948326228.7,-773504078.8,-57942796.2,63156150.0,-800564534.5,-146414463.0,-546048233.1,159782075.9,-254516110.2,-813931953.5,1584180000.0,-5551060000.0,-28390600000.0,-21731100000.0,-1108460000.0,646441465.0,-26160000000.0,-4303710000.0,-18014100000.0,4201680000.0,-8145880000.0,-26058000000.0,71543181.5,-2870020000.0,-13400100000.0,-11704200000.0,1174180000.0,24940522.0,-13303600000.0,-3034170000.0,-8684890000.0,1632560000.0,-4618710000.0,-11902000000.0,440429330.2,-920059186.9,-6552310000.0,-4202680000.0,-1429580000.0,313113636.0,-5798770000.0,-1779050000.0,-5601900000.0,1140650000.0,-196865957.8,-5160380000.0,163150766.9,-943135711.7,-5210710000.0,-3673370000.0,-594201015.2,66376171.0,-4981180000.0,-505573846.9,-3514540000.0,982600732.9,-1466640000.0,-5458210000.0,964704832.7,-29469400000.0,-170837000000.0,-95448300000.0,-45919500000.0,248678355.0,-169624000000.0,-25068200000.0,-93504900000.0,-23262500000.0,-76118900000.0,-121293000000.0,3511330000.0,-1059820000.0,-7209680000.0,-4934170000.0,-1215690000.0,568411322.0,-3129940000.0,-32953331.8,-896186386.5,-242730898.1,-2233750000.0,-2854260000.0
24.year_inc,5453849.2,-232649.2,19451951.5,6249364.1,13435236.6,28360516.7,5122508.0,14981823.8,14808310.2,15511521.8,7643303.3,6687947.0,13552206.5,7726486.9,0.0017,-0.004520000000000001,-0.0166,-0.0271,-0.0984,-0.00807,-0.0177,-0.00932,-0.0147,-0.00663,-0.0077599999999999995,134614.0,-172657.1,-685795.5,-528669.4,15533.2,61614.0,-489567.7,-36795.9,-339772.9,196628.5,-149794.7,-649400.5,0.016,-0.0134,-0.0229,-0.0707,-0.0937,-0.00528,-0.0168,-0.00112,-0.0079,-0.0214,-0.0295,-0.0195,-0.00236,-0.015,1199029.5,-515400.8,491632.7,-1138840.0,2145873.5,2221874.8,740888.6,851090.6,889527.5,2365984.6,1023394.4,1440697.2,1332347.3,-884998.4,2042.0,-9496.8,-59560.8,-36164.3,-13898.8,-281.0,-57800.0,17668.2,-53509.8,37202.2,-4287.7,-112666.1,97089160.5,-243245222.9,-518294181.0,-556432212.8,281383177.9,36297224.0,-384908079.7,2286970.2,-187088213.6,338164270.6,-197819611.8,-725359028.9,1811370000.0,-6892760000.0,-20095900000.0,-18854900000.0,5651720000.0,663009544.0,-17621500000.0,-163590792.3,-11747200000.0,7551660000.0,-5874320000.0,-25009600000.0,141914500.0,-3433280000.0,-9607500000.0,-10051900000.0,3877670000.0,43137262.0,-9422450000.0,-1083020000.0,-5543110000.0,2874430000.0,-3879340000.0,-11213900000.0,572049010.8,-1559390000.0,-3859560000.0,-3599730000.0,1299560000.0,190361329.0,-3097150000.0,148660368.6,-2976110000.0,1830390000.0,-121046119.8,-5076210000.0,188517399.0,-1218840000.0,-3227700000.0,-3161900000.0,1153040000.0,67747861.0,-2971430000.0,527755644.2,-2084820000.0,1893870000.0,-886611975.2,-5393050000.0,1105210000.0,-29437000000.0,-166044000000.0,-98343700000.0,-38263200000.0,325291179.0,-164613000000.0,-24795300000.0,-92379800000.0,-22329100000.0,-72233600000.0,-117489000000.0,3554530000.0,-2448590000.0,-8627480000.0,-5728490000.0,-450401707.1,387587585.0,-4685360000.0,-117530057.7,-1848200000.0,-1536280000.0,-2837160000.0,-3031550000.0
ivparm1,9.82e-07,-1.09e-05,-5.379999999999999e-05,-2.42e-05,2.5e-05,-0.000139,8.82e-06,8.62e-05,-3.81e-05,-2.65e-05,3.95e-06,2.9299999999999997e-05,2.7699999999999996e-05,-1.6800000000000002e-05,1.66e-14,0.0102,0.0267,0.0313,0.0859,0.0147,0.0241,0.0156,0.0194,0.0136,0.0125,-1.08e-06,387456.6,1853923.2,711723.0,754745.7,9.41e-08,1853923.3,328853.7,1048657.1,317058.3,805266.3,1208010.4,1.79e-14,-0.0107,-0.0295,-0.0337,-0.0998,-0.0162,-0.0259,-0.00975,-0.0171,-0.0206,-0.0233,-0.0404,-0.0151,-0.0141,-5.02e-07,-404922.3,-2047175.4,-765134.1,-877119.0,-2047175.4,-352935.5,-721787.4,-1153191.2,-337104.8,-198207.0,-581599.2,-893984.2,-1357135.1,6.509999999999999e-09,6181.1,140885.8,21202.5,113502.8,2.87e-09,140886.2,15140.7,97979.6,5929.8,42907.1,119819.2,0.000405,318390304.2,2107730000.0,831817898.9,957525666.0,-9.940000000000002e-05,2107730000.0,359708417.0,1210860000.0,452253817.7,896872673.4,1295770000.0,0.0177,15915100000.0,75178000000.0,26220300000.0,33042600000.0,-0.000231,75178000000.0,13773200000.0,43063900000.0,11644500000.0,32114100000.0,49760400000.0,-9.790000000000001e-05,7785140000.0,40660100000.0,15288400000.0,17586500000.0,0.000426,40660100000.0,8026010000.0,23005300000.0,6471090000.0,17654800000.0,26163000000.0,0.000487,2725140000.0,10788500000.0,2666130000.0,5397190000.0,-0.0029100000000000003,10788500000.0,2351230000.0,7441200000.0,2174620000.0,3347250000.0,6262600000.0,-0.000958,3122030000.0,15297700000.0,4650560000.0,7525100000.0,-0.000842,15297700000.0,2452350000.0,9108600000.0,2091970000.0,6189090000.0,10753400000.0,506891.5,577306090.1,2251480000.0,938401243.4,735776095.3,-0.0020399999999999997,2251990000.0,378226048.5,1338190000.0,391625907.0,913798725.3,1482130000.0,-0.0077599999999999995,-0.0154,-0.0146,-0.0184,-0.0073,0.00394,-0.0623,-0.0136,-0.0195,-0.0144,-0.0192,0.00509
0.year_inc#c.ivparm1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.year_inc#c.ivparm1,6.079999999999999e-07,-1.014,-2.4,-1.319,-0.067,-2.4,-0.451,-0.33899999999999997,-1.8969999999999998,-1.42,-1.393,-1.423,-0.503,-0.529,-1.46e-14,-0.000889,-0.00197,-0.00604,-0.000148,-0.0006889999999999999,0.0011099999999999999,-0.0006309999999999999,0.00128,-0.000755,-0.0013800000000000002,1.37e-06,-26937.4,-59121.7,-95311.3,63126.3,-2.91e-07,-59121.6,22456.8,-26079.9,44885.6,-33042.7,-126462.3,-1.63e-14,0.00301,0.0061200000000000004,0.0123,0.00782,0.00299,0.00234,0.00253,0.0030600000000000002,0.00143,0.00212,0.000992,0.0029100000000000003,0.00344,2.3800000000000001e-07,108532.7,351910.5,243235.9,141.8,351910.5,25099.4,175784.8,190714.5,1209.3,5461.7,6335.0,161195.9,325601.7,-4.6100000000000004e-09,-2889.7,59230.6,11401.6,50718.1,-3.8e-09,59231.6,7475.9,36909.0,7895.1,22321.3,43857.4,-0.000263,31510844.5,210288384.8,-51220839.1,229998551.5,0.0001,210288587.9,66700768.9,164711841.3,75282194.5,45576678.1,68305460.2,41053.1,-1336210000.0,-427358775.2,-3123860000.0,4032710000.0,-0.000708,-427313169.8,963840808.2,176412928.4,1861570000.0,-603732256.3,-3252730000.0,0.000303,-752210853.3,-2422990000.0,-2536500000.0,865713963.5,-0.000523,-2422990000.0,350875466.7,-1292410000.0,665106464.1,-1130590000.0,-3438980000.0,-0.000426,259538952.2,3813950000.0,634690198.2,2919720000.0,0.00316,3813950000.0,662608109.6,2427330000.0,1179560000.0,1386620000.0,1971780000.0,-21112.0,-361678966.8,149416854.1,-621904800.2,1133000000.0,0.000576,149395821.5,134532218.9,212619367.0,342969178.4,-63223574.9,-328106040.1,27964447.8,2196990000.0,11313800000.0,4830130000.0,4286640000.0,0.0018800000000000002,11341700000.0,2228130000.0,6176060000.0,1965990000.0,5165670000.0,7147620000.0,0.009009999999999999,148604587.4,425801205.3,257727675.3,19468906.2,-0.00392,425800868.4,67035999.4,147225257.1,49286533.2,278576041.7,309478903.2
4.year_inc#c.ivparm1,-0.000148,-8788.8,-95445.5,-30247.0,-56409.7,-95445.5,-17043.0,-35204.7,-49685.5,-19417.5,-8461.4,-27719.4,-45760.1,-58985.0,-1.77e-14,-0.00293,-0.006379999999999999,-0.0118,-0.0138,-0.0029100000000000003,-0.00084,-0.00286,-0.00053,-0.00298,-0.00381,1.27e-06,-103374.7,-317078.8,-194821.3,-18880.6,-1.43e-07,-317076.9,3212.0,-161721.1,34779.8,-155357.0,-355070.1,2.8600000000000004e-13,0.00566,0.0125,0.0199,0.0296,0.00636,0.00535,0.00484,0.00657,0.0049700000000000005,0.00655,0.0086,0.0061200000000000004,0.00692,-1.34e-07,209208.5,751357.0,397654.6,144493.9,751357.0,56557.5,340430.9,411986.5,41521.8,34727.9,101110.7,339370.4,653277.6,-7.98e-09,859.6,64731.4,5630.0,58243.1,-3.88e-09,64731.9,11525.1,43917.0,13169.1,20816.5,40034.4,-171080.0,-76603242.1,-196233447.1,-343293474.3,223663507.7,9.36e-05,-196404297.9,77499144.6,-63002042.2,10681154.1,-133402408.1,-284584654.8,7548.3,-4226460000.0,-9430230000.0,-6713500000.0,1509730000.0,6.59e-05,-9430230000.0,659453569.6,-4426040000.0,1512290000.0,-5004190000.0,-11602000000.0,0.000103,-2477940000.0,-7530700000.0,-4128730000.0,-924038653.6,-0.000482,-7530700000.0,223205554.4,-4010030000.0,427825257.7,-3520680000.0,-8181740000.0,-0.0010199999999999999,268046621.3,3166460000.0,196727167.3,2701690000.0,0.00275,3166460000.0,945049022.4,2523640000.0,1173850000.0,642818178.2,1047560000.0,-8594.4,-857583945.8,-1447170000.0,-1341060000.0,751468802.9,0.000933,-1447180000.0,61131213.8,-534962991.0,290775212.5,-912220095.7,-1799090000.0,57660431.7,3189140000.0,22111500000.0,9309170000.0,9613150000.0,0.00206,22169100000.0,4367020000.0,11971000000.0,4394550000.0,10198200000.0,13407600000.0,-2037379.7,317511287.9,275497125.1,-100096658.0,58082290.6,-0.00489,273459774.6,104069042.7,-22371389.4,129281764.5,295831123.2,40109012.5
6.year_inc#c.ivparm1,-0.00186,-10643.5,-177757.5,-49705.4,-117408.6,-177757.5,-35778.4,-61410.6,-95480.8,-35633.5,-19697.6,-55161.7,-82276.7,-106345.6,-1.69e-14,-0.00234,-0.008320000000000001,-0.0159,-0.0256,-0.00392,-0.000816,-0.00405,-0.0007509999999999999,-0.0037799999999999995,-0.00524,8.159999999999999e-07,-84079.2,-415657.5,-277249.4,-54330.9,-1.3e-07,-415658.0,13216.8,-225280.4,54541.4,-190375.2,-483414.6,-1.06e-11,0.00442,0.0142,0.0237,0.0431,0.00727,0.00609,0.00545,0.00787,0.00535,0.00788,0.009590000000000001,0.00658,0.00807,-0.0005740000000000001,163421.9,837448.0,482011.2,192014.9,837448.0,55454.9,377657.5,484319.6,26081.2,35824.3,95130.4,353128.4,755911.9,-3.18e-09,-2093.8,76568.6,2204.6,76460.2,-1.6699999999999998e-09,76567.0,15903.7,48453.7,16676.7,28111.4,43982.4,-1101091.1,-111048169.4,-266823820.5,-325797614.5,170022127.6,-1.0800000000000002e-05,-267924776.9,63232896.1,-16563207.3,111002228.9,-251361698.2,-442159962.8,-19038.0,-3841410000.0,-11143200000.0,-9647140000.0,2345320000.0,0.00043,-11143200000.0,1260560000.0,-5191440000.0,2493150000.0,-5951800000.0,-14897000000.0,-0.0006900000000000001,-2240960000.0,-8931280000.0,-5671350000.0,-1018970000.0,-0.00041799999999999997,-8931280000.0,456037869.9,-4424630000.0,657012173.9,-4506650000.0,-10044300000.0,-0.0024100000000000002,-430237734.6,3403610000.0,-168493113.7,4002350000.0,0.00282,3403610000.0,1105930000.0,2704520000.0,1263960000.0,699097298.7,1033720000.0,-56327.8,-775974715.7,-1575250000.0,-1920360000.0,1121080000.0,0.00107,-1575310000.0,246232716.1,-680414671.7,598463847.6,-894895032.4,-2420010000.0,-5554467.7,2772950000.0,27363700000.0,10733300000.0,13857500000.0,0.00199,27358100000.0,5573030000.0,15480500000.0,5569020000.0,11877600000.0,16216100000.0,-9777705.5,13443252.6,445832377.4,337907179.5,94481979.4,-0.00424,436054908.7,167417048.5,-59002502.2,179636315.1,495057134.5,89001512.7
8.year_inc#c.ivparm1,-0.00249,-7243.6,-237930.0,-60676.3,-170010.1,-237930.0,-44435.6,-80918.8,-140219.8,-40885.3,-21925.4,-66758.5,-97710.2,-152609.1,-1.82e-14,-0.0020800000000000003,-0.00895,-0.0177,-0.0322,-0.00419,-0.000544,-0.0049,-0.0019399999999999999,-0.0033799999999999998,-0.00551,1.07e-06,-79482.8,-417400.1,-306595.5,-31323.6,-1.28e-07,-417402.7,27422.4,-267726.1,53940.2,-149675.5,-498764.9,-2.24e-12,0.00491,0.0147,0.0243,0.0493,0.007520000000000001,0.00642,0.0054,0.00831,0.007109999999999999,0.008409999999999999,0.0139,0.0066,0.00808,-0.00031299999999999996,186535.5,840919.8,484745.0,169639.3,840919.8,50789.2,365877.0,499119.7,42977.8,31987.7,144895.0,341800.1,747152.8,-8.66e-09,1137.0,89313.0,8883.7,79291.6,-2.8399999999999997e-09,89313.8,16657.8,59137.0,17259.5,30175.1,55389.8,8794.0,-74881281.0,-196868777.7,-266390938.8,144403604.2,8.35e-05,-196859743.6,41416649.5,-86939714.6,137357816.9,-109920170.9,-375634309.5,38535.6,-2731710000.0,-9350480000.0,-9938420000.0,3319650000.0,-0.00014099999999999998,-9350440000.0,2312050000.0,-5997570000.0,2921820000.0,-3352870000.0,-14584300000.0,126698.2,-1450630000.0,-8072510000.0,-6110320000.0,-511563185.7,-0.00043099999999999996,-8072390000.0,1122940000.0,-5146180000.0,1143110000.0,-2926210000.0,-10338400000.0,-0.0005200000000000001,523213382.3,4891950000.0,359962041.9,4008780000.0,0.0030800000000000003,4891950000.0,1074270000.0,2987760000.0,1944840000.0,1904190000.0,1872850000.0,-48982.5,-655636696.1,-1136530000.0,-1875240000.0,1394340000.0,0.0008820000000000001,-1136580000.0,383274908.1,-682510625.6,597508640.7,-454067111.8,-2117360000.0,32318645.1,3066540000.0,29148200000.0,9759840000.0,16321800000.0,0.0020399999999999997,29180500000.0,6675140000.0,15891800000.0,6800210000.0,13288600000.0,15705100000.0,-8432540.4,-643441547.4,-338271533.0,201110643.8,104059233.4,-0.00476,-346703761.6,-112004774.0,-25712718.3,-120874651.6,-320991395.8,-113824670.8
10.year_inc#c.ivparm1,-0.0028,-8498.1,-263522.3,-64436.5,-190587.8,-263522.3,-64467.6,-80377.1,-148711.3,-53437.4,-30947.9,-87216.4,-114811.0,-145617.3,-1.85e-14,-0.0023899999999999998,-0.00907,-0.0178,-0.0365,-0.00413,-0.000775,-0.00449,-0.00106,-0.00374,-0.00569,1.15e-06,-94174.8,-375846.1,-288454.6,6779.2,-8.77e-08,-375845.3,33210.0,-218073.5,96265.8,-157772.4,-505320.0,5.95e-12,0.00507,0.0146,0.0255,0.0501,0.0074,0.00621,0.00573,0.0077,0.006529999999999999,0.009340000000000001,0.0129,0.0070599999999999994,0.008190000000000001,-2.52e-05,194748.6,798673.4,510449.4,93475.4,798673.4,36150.3,384349.5,439806.8,10504.9,31542.2,109767.4,358866.6,752018.2,-1.22e-08,-915.1,81450.7,2057.7,80304.8,-2.4500000000000003e-10,81449.3,16082.3,55327.0,22767.1,26121.8,42598.1,-0.00044500000000000003,-93330536.4,-2696646.2,-234639913.7,325274053.4,0.000121,-2696308.1,108454763.2,98353298.4,262074915.1,-101049732.3,-373226123.7,105658.2,-3514740000.0,-8591620000.0,-10072600000.0,4995710000.0,1.83e-05,-8591510000.0,2185960000.0,-5090030000.0,4583520000.0,-3501480000.0,-15361000000.0,178047.3,-1799400000.0,-6773180000.0,-6010310000.0,1036530000.0,-0.000587,-6773000000.0,1086880000.0,-4518630000.0,1845370000.0,-2254370000.0,-9705250000.0,1499503.8,592720114.7,5613280000.0,901079621.4,4119480000.0,0.00309,5614780000.0,1214970000.0,3484720000.0,2891550000.0,2130060000.0,1508260000.0,-55584.8,-805967086.5,-1320820000.0,-2038040000.0,1523190000.0,0.0008179999999999999,-1320870000.0,363380782.4,-493938934.0,976488135.3,-826934310.1,-2660740000.0,61631411.8,2986660000.0,31033100000.0,11497000000.0,16549400000.0,0.0018399999999999998,31094800000.0,7700510000.0,16533700000.0,8019100000.0,14561100000.0,15375200000.0,7048939.6,15494449.9,191806750.6,-62184037.6,238496514.6,-0.00361,198855348.3,19700940.6,-136747649.0,121518166.6,335603485.2,57636254.4
12.year_inc#c.ivparm1,-203.8,-11013.9,-291202.2,-63146.9,-217041.4,-291406.0,-70046.2,-87151.4,-158770.1,-72514.8,-36783.9,-92311.9,-132635.9,-148845.0,5.6900000000000007e-08,-0.00146,-0.00889,-0.0192,-0.0394,-0.0040100000000000005,0.000181,-0.00498,0.00023700000000000001,-0.0029,-0.0060799999999999995,1.2e-06,-67032.1,-326011.7,-320004.2,61022.2,-1.36e-07,-326011.3,59124.1,-236515.6,149883.9,-89494.4,-535021.0,4.81e-07,0.004079999999999999,0.0151,0.0277,0.0547,0.007670000000000001,0.00586,0.005220000000000001,0.00863,0.00587,0.00905,0.0125,0.00657,0.008870000000000001,0.014,163167.9,809670.7,572922.7,73580.1,809670.8,21472.0,335928.8,495148.7,-26335.0,18450.3,85978.4,314522.0,814533.8,-3.17e-10,381.7,87575.9,5434.8,81759.3,-5.2600000000000004e-09,87574.9,24419.5,46759.5,24676.6,40813.6,38476.0,-0.00042199999999999996,-66747775.7,-244156806.6,-506920440.9,329511544.5,0.00011100000000000001,-244156593.5,95156987.9,-64891033.8,183710506.4,-179265637.5,-523024273.5,245245.9,-2949630000.0,-6526390000.0,-9704870000.0,6128110000.0,0.000516,-6526140000.0,4042060000.0,-5883320000.0,7194460000.0,-642829263.2,-17762700000.0,5.870000000000001e-05,-1832510000.0,-5914370000.0,-5552270000.0,1470400000.0,-0.000478,-5914370000.0,1989860000.0,-4464980000.0,3483750000.0,-1449390000.0,-11388000000.0,-3064992.0,591641755.3,4826160000.0,463823015.4,3770700000.0,0.00325,4823100000.0,1879100000.0,2787840000.0,2822070000.0,2035260000.0,121918511.6,-126211.9,-628479383.6,-873987653.2,-1972180000.0,1726670000.0,0.0008900000000000001,-874112982.2,795336783.4,-947422131.3,1407420000.0,73308046.6,-3076870000.0,56246186.6,3250980000.0,34623800000.0,12237500000.0,19135300000.0,0.00232,34680100000.0,8715510000.0,18310800000.0,9891370000.0,16369300000.0,16073200000.0,33427987.0,864040561.3,1293650000.0,284639989.9,144969537.9,-0.004520000000000001,1327080000.0,-1230430.0,163695391.4,871012134.2,1163380000.0,457296296.8
14.year_inc#c.ivparm1,-0.00249,-11429.4,-318110.9,-63857.6,-242823.9,-318110.9,-74430.7,-79053.7,-166348.7,-86118.4,-42172.8,-114658.6,-151762.2,-157561.8,-1.82e-14,-0.00125,-0.00618,-0.0167,-0.0346,-0.00246,0.00179,-0.0028899999999999998,0.0026899999999999997,-0.00197,-0.0049,1.13e-06,-66645.4,-71895.1,-235402.1,230149.5,-1.2099999999999998e-07,-71897.6,98549.7,-59265.2,235400.0,-12627.9,-405846.4,-2.1899999999999997e-11,0.00403,0.0123,0.025,0.0494,0.00606,0.0036299999999999995,0.0036,0.00632,0.00349,0.00625,0.0111,0.00576,0.00765,-0.0011300000000000001,166659.4,552230.2,484397.6,-98826.8,552230.2,-25994.4,193889.7,306118.1,-105781.5,-26772.9,39336.0,246112.1,684006.1,-1.01e-08,472.4,109229.6,10985.8,97774.6,-3.65e-09,109231.4,33500.0,58964.5,31730.8,50265.2,43997.4,-210268.9,-66148147.2,581925744.5,-204293572.6,852367612.3,8.03e-05,581715849.6,227594159.4,340649042.9,403283671.5,241066617.8,-49162371.1,175698.5,-2963280000.0,4328650000.0,-6646810000.0,13938700000.0,0.000395,4328820000.0,6100030000.0,1144440000.0,10581300000.0,3184380000.0,-12352500000.0,175987.6,-1976290000.0,26451208.3,-3983790000.0,5986530000.0,-0.000454,26626226.7,3071820000.0,-339856860.3,5236590000.0,366480896.5,-8281780000.0,-5611600.9,954532867.6,7674950000.0,89570014.2,6630850000.0,0.0030600000000000002,7669340000.0,2708730000.0,3906320000.0,3262440000.0,3763030000.0,1698170000.0,-115179.9,-604434251.8,1406950000.0,-1277440000.0,3288820000.0,0.000895,1406830000.0,1236990000.0,470847419.0,2065170000.0,935986325.8,-1895320000.0,53382412.8,3774970000.0,38090600000.0,13549600000.0,20766000000.0,0.00213,38144000000.0,9881730000.0,19479000000.0,11931800000.0,18665000000.0,16330400000.0,16845972.0,582339100.7,1229040000.0,467279263.0,179417206.5,-0.00379,1245880000.0,417970915.5,354952357.1,210049262.1,890929236.0,617861337.8
